date,receipt,change
2025-06-03,405596,-3537.0
2025-06-04,404690,-906.0
2025-06-05,401990,-2700.0
2025-06-06,391340,-10650.0
2025-06-09,370736,-20604.0
2025-06-10,365387,-5349.0
2025-06-11,358313,-7074.0
2025-06-12,337013,-21300.0
2025-06-13,326201,-10812.0
2025-06-16,300329,-25872.0
2025-06-17,294902,-5427.0
2025-06-18,278909,-15993.0
2025-06-19,230078,-48831.0
2025-06-20,228329,-1749.0
2025-06-23,223004,-5325.0
2025-06-24,219464,-3540.0
2025-06-25,213272,-6192.0
2025-06-26,207935,-5337.0
2025-06-27,202598,-5337.0
2025-06-30,199022,-3576.0
2025-07-01,197264,-1758.0
2025-07-02,194627,-2637.0
2025-07-03,194627,0.0
2025-07-04,190154,-4473.0
2025-07-07,190154,0.0
2025-07-08,190154,0.0
2025-07-09,190154,0.0
2025-07-10,190154,0.0
2025-07-11,190154,0.0
2025-07-14,190154,0.0
2025-07-15,190154,0.0
2025-07-16,183896,-6258.0
2025-07-17,183896,0.0
2025-07-18,178634,-5262.0
2025-07-21,177755,-879.0
2025-07-22,175647,-2108.0
2025-07-23,174156,-1491.0
2025-07-24,173268,-888.0
2025-07-25,172389,-879.0
2025-07-28,58362,
2025-07-29,57772,
2025-07-30,57772,0.0
2025-07-31,57772,0.0
2025-08-01,57174,-598.0
2025-08-04,55998,
2025-08-05,55998,0.0
2025-08-06,70915,
2025-08-07,70915,0.0
2025-08-08,70915,0.0
2025-08-11,69461,-1454.0
2025-08-12,78386,8925.0
2025-08-13,78386,0.0
2025-08-14,78386,0.0
2025-08-15,78386,0.0
2025-08-18,78386,0.0
2025-08-19,79266,880.0
2025-08-20,39661,-39605.0
2025-08-21,33992,-5669.0
2025-08-22,32215,-1777.0
2025-08-25,26849,-5366.0
2025-08-26,25955,-894.0
2025-08-27,25356,-599.0
2025-08-28,24760,-596.0
2025-08-29,24760,0.0
2025-09-01,24760,0.0
2025-09-02,24760,0.0
2025-09-03,24760,0.0
2025-09-04,24459,-301.0
2025-09-05,24459,0.0
2025-09-08,24459,0.0
2025-09-09,24459,0.0
2025-09-10,24459,0.0
2025-09-11,58841,34382.0
2025-09-12,58841,0.0
2025-09-15,58841,0.0
2025-09-16,58841,0.0
2025-09-17,58841,0.0
2025-09-18,44949,-13892.0
2025-09-19,37228,-7721.0
2025-09-22,36331,
2025-09-23,34851,-1480.0
2025-09-24,34559,-292.0
2025-09-25,29204,-5355.0
2025-09-26,28314,-890.0
2025-09-29,28314,0.0
2025-09-30,28314,0.0
2025-10-09,28314,0.0
2025-10-10,28314,0.0
2025-10-13,30372,2058.0
2025-10-14,29778,-594.0
2025-10-15,69691,39913.0
2025-10-16,121105,51414.0
2025-10-17,118411,-2694.0
2025-10-20,116032,-2379.0
2025-10-21,113657,-2375.0
2025-10-22,112761,-896.0
2025-10-23,111864,-897.0
2025-10-24,107065,-4799.0
2025-10-27,104667,-2398.0
2025-10-28,101371,-3296.0
2025-10-29,104773,3402.0
2025-10-30,98835,-5938.0
2025-10-31,98537,-298.0
2025-11-03,98537,0.0
2025-11-04,100301,1764.0
2025-11-05,100301,0.0
2025-11-06,99412,-889.0
2025-11-07,97922,-1490.0
2025-11-10,97028,-894.0
2025-11-11,97028,0.0
2025-11-12,95543,-1485.0
2025-11-13,107606,12063.0
2025-11-14,114083,6477.0
2025-11-17,120567,6484.0
2025-11-18,120567,0.0
2025-11-19,120567,0.0
2025-11-20,116388,-4179.0
2025-11-21,116388,0.0
2025-11-24,113732,-2656.0
2025-11-25,113732,0.0
2025-11-26,113732,0.0
2025-11-27,113732,0.0
2025-11-28,113732,0.0
2025-12-01,113732,0.0
2025-12-02,113732,0.0
2025-12-03,113732,0.0
2025-12-04,113732,0.0
2025-12-05,113732,0.0
2025-12-08,113732,0.0
2025-12-09,113732,0.0
2025-12-10,109014,-4718.0
2025-12-11,109014,0.0
2025-12-12,108128,-886.0
2025-12-15,103404,-4724.0
2025-12-16,103404,0.0
2025-12-17,103404,0.0
2025-12-18,103404,0.0
2025-12-19,103404,0.0
2025-12-22,104293,889.0
2025-12-23,104293,0.0
2025-12-24,104293,0.0
2025-12-25,104588,295.0
2025-12-26,104588,0.0
2025-12-29,104588,0.0
2025-12-30,104588,0.0
2025-12-31,104588,0.0
