date,receipt,change
2025-06-03,584210,-690.0
2025-06-04,568660,-15550.0
2025-06-05,568060,-600.0
2025-06-06,569350,1290.0
2025-06-09,568510,-840.0
2025-06-10,568420,-90.0
2025-06-11,568780,360.0
2025-06-12,568570,-210.0
2025-06-13,567970,-600.0
2025-06-16,567590,-380.0
2025-06-17,568340,750.0
2025-06-18,568160,-180.0
2025-06-19,567650,-510.0
2025-06-20,567320,-330.0
2025-06-23,566840,-480.0
2025-06-24,566060,-780.0
2025-06-25,565520,-540.0
2025-06-26,564950,-570.0
2025-06-27,564680,-270.0
2025-06-30,564470,-210.0
2025-07-01,564280,-190.0
2025-07-02,556270,-8010.0
2025-07-03,555460,-810.0
2025-07-04,555370,-90.0
2025-07-07,555280,-90.0
2025-07-08,555190,-90.0
2025-07-09,555100,-90.0
2025-07-10,555040,-60.0
2025-07-11,554890,-150.0
2025-07-14,554770,-120.0
2025-07-15,550000,-4770.0
2025-07-16,550000,0.0
2025-07-17,549760,-240.0
2025-07-18,549050,-710.0
2025-07-21,548990,-60.0
2025-07-22,548990,0.0
2025-07-23,549230,240.0
2025-07-24,549170,-60.0
2025-07-25,535410,-13760.0
2025-07-28,182020,
2025-07-29,181920,
2025-07-30,179910,-2010.0
2025-07-31,179600,-310.0
2025-08-01,177630,-1970.0
2025-08-04,176640,
2025-08-05,176510,-130.0
2025-08-06,176470,
2025-08-07,176320,-150.0
2025-08-08,176280,-40.0
2025-08-11,175440,-840.0
2025-08-12,180240,4800.0
2025-08-13,180200,-40.0
2025-08-14,179070,-1130.0
2025-08-15,179930,860.0
2025-08-18,179590,-340.0
2025-08-19,179570,-20.0
2025-08-20,178620,-950.0
2025-08-21,178510,-110.0
2025-08-22,178470,-40.0
2025-08-25,177760,-710.0
2025-08-26,177290,-470.0
2025-08-27,177270,-20.0
2025-08-28,178050,780.0
2025-08-29,178640,590.0
2025-09-01,171080,-7560.0
2025-09-02,167920,-3160.0
2025-09-03,167760,-160.0
2025-09-04,165730,-2030.0
2025-09-05,162230,-3500.0
2025-09-08,157350,-4880.0
2025-09-09,156650,-700.0
2025-09-10,155250,-1400.0
2025-09-11,152940,-2310.0
2025-09-12,151740,-1200.0
2025-09-15,149320,-2420.0
2025-09-16,152250,2930.0
2025-09-17,152180,-70.0
2025-09-18,153570,1390.0
2025-09-19,154920,1350.0
2025-09-22,155080,
2025-09-23,155020,-60.0
2025-09-24,155830,810.0
2025-09-25,153570,-2260.0
2025-09-26,149420,-4150.0
2025-09-29,151210,1790.0
2025-09-30,149810,-1400.0
2025-10-09,145390,-4420.0
2025-10-10,144390,-1000.0
2025-10-13,142940,-1450.0
2025-10-14,140420,-2520.0
2025-10-15,139560,-860.0
2025-10-16,136630,-2930.0
2025-10-17,135000,-1630.0
2025-10-20,131800,-3200.0
2025-10-21,129080,-2720.0
2025-10-22,127740,-1340.0
2025-10-23,127210,-530.0
2025-10-24,124020,-3190.0
2025-10-27,123310,-710.0
2025-10-28,122570,-740.0
2025-10-29,122890,320.0
2025-10-30,121670,-1220.0
2025-10-31,120900,-770.0
2025-11-03,120630,-270.0
2025-11-04,120080,-550.0
2025-11-05,119380,-700.0
2025-11-06,119100,-280.0
2025-11-07,118970,-130.0
2025-11-10,118320,-650.0
2025-11-11,118220,-100.0
2025-11-12,116210,-2010.0
2025-11-13,111790,-4420.0
2025-11-14,108470,-3320.0
2025-11-17,108130,-340.0
2025-11-18,115900,7770.0
2025-11-19,116060,160.0
2025-11-20,39600,-76460.0
2025-11-21,39600,0.0
2025-11-24,40800,1200.0
2025-11-25,41400,600.0
2025-11-26,41400,0.0
2025-11-27,41400,0.0
2025-11-28,41400,0.0
2025-12-01,41400,0.0
2025-12-02,41400,0.0
2025-12-03,41400,0.0
2025-12-04,45700,4300.0
2025-12-05,45530,-170.0
2025-12-08,46030,500.0
2025-12-09,46030,0.0
2025-12-10,53430,7400.0
2025-12-11,53430,0.0
2025-12-12,56990,3560.0
2025-12-15,72960,15970.0
2025-12-16,84260,11300.0
2025-12-17,87160,2900.0
2025-12-18,87160,0.0
2025-12-19,87160,0.0
2025-12-22,88730,1570.0
2025-12-23,88730,0.0
2025-12-24,91330,2600.0
2025-12-25,93230,1900.0
2025-12-26,93930,700.0
2025-12-29,96590,2660.0
2025-12-30,97290,700.0
2025-12-31,100590,3300.0
