date,value,change,增减
2025-05-06,102622,0.0,
2025-05-07,98978,-3644.0,
2025-05-08,97724,-1254.0,
2025-05-09,91478,-6246.0,
2025-05-12,88754,-2724.0,
2025-05-13,81164,-7590.0,
2025-05-14,74372,-6792.0,
2025-05-15,69236,-5136.0,
2025-05-16,70046,810.0,
2025-05-19,68831,-1215.0,
2025-05-20,67816,-1015.0,
2025-05-21,67714,-102.0,
2025-05-22,57158,-10556.0,
2025-05-23,56566,-592.0,
2025-05-26,56308,-258.0,
2025-05-27,56308,0.0,
2025-05-28,56248,-60.0,
2025-05-29,56248,0.0,
2025-05-30,56044,-204.0,
2025-06-03,55840,-204.0,
2025-06-04,55447,-393.0,
2025-06-05,55447,0.0,
2025-06-06,54247,-1200.0,
2025-06-09,56653,2406.0,
2025-06-10,64713,8060.0,
2025-06-11,69117,4404.0,
2025-06-12,71853,2736.0,
2025-06-13,85855,14002.0,
2025-06-16,84853,-1002.0,
2025-06-17,80591,-4262.0,
2025-06-18,80591,0.0,
2025-06-19,37468,-43123.0,
2025-06-20,36804,-664.0,
2025-06-23,36600,-204.0,
2025-06-24,36396,-204.0,
2025-06-25,36156,-240.0,
2025-06-26,35952,-204.0,
2025-06-27,35022,-930.0,
2025-06-30,34434,-588.0,
2025-07-01,34428,-6.0,
2025-07-02,34428,0.0,
2025-07-03,33218,-1210.0,
2025-07-04,33074,-144.0,
2025-07-07,31424,-1650.0,
2025-07-08,33905,2481.0,
2025-07-09,36155,2250.0,
2025-07-10,36935,780.0,
2025-07-11,43274,6339.0,
2025-07-14,43190,-84.0,
2025-07-15,41840,-1350.0,
2025-07-16,40760,-1080.0,
2025-07-17,30866,-9894.0,
2025-07-18,30764,-102.0,
2025-07-21,30752,-12.0,
2025-07-22,30746,-6.0,
2025-07-23,30746,0.0,
2025-07-24,30746,0.0,
2025-07-25,30740,-6.0,
2025-07-28,30740,0.0,
2025-07-29,30740,0.0,
2025-07-30,29738,-1002.0,
2025-07-31,29738,0.0,
2025-08-01,27731,-2007.0,
2025-08-04,27131,-600.0,
2025-08-05,27131,0.0,
2025-08-06,27131,0.0,
2025-08-07,33459,6328.0,
2025-08-08,33459,0.0,
2025-08-11,38457,4998.0,
2025-08-12,40839,2382.0,
2025-08-13,47163,6324.0,
2025-08-14,45909,-1254.0,
2025-08-15,44709,-1200.0,
2025-08-18,41907,-2802.0,
2025-08-19,37349,-4558.0,
2025-08-20,36347,-1002.0,
