date,receipt,change
2025-07-28,2168,
2025-07-29,2168,
2025-07-30,2168,0.0
2025-07-31,2168,0.0
2025-08-01,2968,800.0
2025-08-04,2968,
2025-08-05,2968,0.0
2025-08-06,2762,
2025-08-07,2762,0.0
2025-08-08,2072,-690.0
2025-08-11,2072,0.0
2025-08-12,2072,0.0
2025-08-13,2072,0.0
2025-08-14,2072,0.0
2025-08-15,2072,0.0
2025-08-18,2072,0.0
2025-08-19,2072,0.0
2025-08-20,2092,20.0
2025-08-21,2092,0.0
2025-08-22,2092,0.0
2025-08-25,2392,300.0
2025-08-26,2392,0.0
2025-08-27,2392,0.0
2025-08-28,2392,0.0
2025-08-29,2392,0.0
2025-09-01,5392,3000.0
2025-09-02,9422,4030.0
2025-09-03,9922,500.0
2025-09-04,9672,-250.0
2025-09-05,9372,-300.0
2025-09-08,9372,0.0
2025-09-09,9212,-160.0
2025-09-10,9192,-20.0
2025-09-11,9042,-150.0
2025-09-12,9142,100.0
2025-09-15,8944,-198.0
2025-09-16,8544,-400.0
2025-09-17,8544,0.0
2025-09-18,8235,-309.0
2025-09-19,8235,0.0
2025-09-22,8135,
2025-09-23,8135,0.0
2025-09-24,7779,-356.0
2025-09-25,7577,-202.0
2025-09-26,7477,-100.0
2025-09-29,7476,-1.0
2025-09-30,7476,0.0
2025-10-09,7476,0.0
2025-10-10,7476,0.0
2025-10-13,7476,0.0
2025-10-14,7776,300.0
2025-10-15,7776,0.0
2025-10-16,7776,0.0
2025-10-17,7776,0.0
2025-10-20,7776,0.0
2025-10-21,7966,190.0
2025-10-22,7945,-21.0
2025-10-23,7945,0.0
2025-10-24,7555,-390.0
2025-10-27,7555,0.0
2025-10-28,7555,0.0
2025-10-29,7555,0.0
2025-10-30,7555,0.0
2025-10-31,7555,0.0
2025-11-03,7555,0.0
2025-11-04,7555,0.0
2025-11-05,7555,0.0
2025-11-06,7555,0.0
2025-11-07,7555,0.0
2025-11-10,7555,0.0
2025-11-11,7505,-50.0
2025-11-12,7505,0.0
2025-11-13,7505,0.0
2025-11-14,7375,-130.0
2025-11-17,7325,-50.0
2025-11-18,7275,-50.0
2025-11-19,7275,0.0
2025-11-20,7265,-10.0
2025-11-21,7255,-10.0
2025-11-24,7245,-10.0
2025-11-25,7225,-20.0
2025-11-26,7225,0.0
2025-11-27,7205,-20.0
2025-11-28,7195,-10.0
2025-12-01,7175,-20.0
2025-12-02,7151,-24.0
2025-12-03,7134,-17.0
2025-12-04,7134,0.0
2025-12-05,7104,-30.0
2025-12-08,7078,-26.0
2025-12-09,7066,-12.0
2025-12-10,7066,0.0
2025-12-11,7049,-17.0
2025-12-12,7013,-36.0
2025-12-15,7003,-10.0
2025-12-16,6972,-31.0
2025-12-17,6972,0.0
2025-12-18,6942,-30.0
2025-12-19,6942,0.0
2025-12-22,6932,-10.0
2025-12-23,6923,-9.0
2025-12-24,6922,-1.0
2025-12-25,6922,0.0
2025-12-26,6922,0.0
2025-12-29,7722,800.0
2025-12-30,13017,5295.0
2025-12-31,14017,1000.0
